county1, county2, distance, netmig
32,33,1080,-3
32,36,2375,-3
32,71,423,-3
33,39,558,-3
33,48,802,-3
33,71,889,-3
34,37,613,-3
35,48,1346,-3
35,51,2227,-3
35,53,2382,-3
35,55,2167,-3
36,57,997,-3
37,70,1142,-3
38,47,2440,-3
38,66,2582,-3
39,51,1257,-3
39,53,1534,-3
39,63,373,-3
40,43,466,-3
42,63,626,-3
42,70,585,-3
43,64,512,-3
44,66,1275,-3
46,58,492,-3
47,55,1019,-3
50,51,2171,-3
50,61,352,-3
50,68,1191,-3
51,66,1114,-3
52,70,923,-3
53,64,872,-3
55,70,722,-3
55,72,992,-3
57,60,454,-3
57,63,1073,-3
59,70,2303,-3
61,64,1743,-3
61,72,2013,-3
62,67,1411,-3
62,71,2372,-3
64,70,780,-3
67,70,1233,-3
0,1,2236,-2
0,4,2426,-2
0,8,1454,-2
0,11,1452,-2
0,24,2083,-2
0,43,2270,-2
0,47,2544,-2
0,66,2670,-2
0,69,1433,-2
0,71,2377,-2
2,35,1859,-2
3,4,1473,-2
3,13,985,-2
3,53,1543,-2
3,71,1424,-2
4,7,2093,-2
4,30,947,-2
4,35,2310,-2
4,68,1347,-2
5,17,1558,-2
5,28,1248,-2
5,32,1809,-2
5,42,1169,-2
5,70,1709,-2
6,17,1226,-2
6,29,189,-2
6,43,1106,-2
7,42,1584,-2
7,47,2223,-2
7,51,2022,-2
8,32,1343,-2
8,50,1220,-2
9,52,824,-2
10,67,1046,-2
11,25,1324,-2
11,62,1439,-2
12,27,704,-2
13,24,333,-2
13,65,264,-2
13,66,940,-2
14,22,1608,-2
14,48,929,-2
14,65,775,-2
14,71,1453,-2
15,31,817,-2
15,71,233,-2
17,28,379,-2
17,40,463,-2
18,22,834,-2
18,45,942,-2
18,48,979,-2
18,60,2370,-2
18,72,831,-2
19,26,1167,-2
19,34,1018,-2
20,34,1243,-2
20,40,1419,-2
20,52,975,-2
20,69,662,-2
20,70,1750,-2
22,30,1014,-2
24,54,1689,-2
25,54,550,-2
25,65,1595,-2
26,36,2148,-2
26,39,997,-2
26,48,886,-2
26,49,745,-2
27,69,901,-2
29,31,803,-2
30,42,519,-2
30,54,1326,-2
31,34,735,-2
31,46,2498,-2
31,60,2407,-2
31,69,978,-2
31,73,1040,-2
32,39,1598,-2
32,52,1156,-2
32,70,295,-2
33,42,441,-2
33,52,669,-2
33,58,1449,-2
34,56,608,-2
34,70,535,-2
35,37,1253,-2
35,56,1501,-2
35,65,1571,-2
38,55,2135,-2
40,46,1941,-2
40,52,873,-2
40,73,1304,-2
41,51,1867,-2
43,46,2273,-2
44,52,647,-2
44,54,1935,-2
46,66,2521,-2
47,51,946,-2
48,51,991,-2
48,61,1537,-2
48,62,1542,-2
49,70,1191,-2
50,52,1649,-2
50,58,384,-2
51,70,646,-2
52,67,474,-2
53,73,1618,-2
54,58,693,-2
54,73,803,-2
55,61,2321,-2
55,66,1190,-2
56,68,1046,-2
57,64,1486,-2
57,71,2112,-2
58,65,1660,-2
62,66,2672,-2
